time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18,1.7704,1.7846,1.7679,1.7839,10067,30,0
2006-04-19,1.7835999999999999,1.7938,1.7795,1.7925,10103,30,0
2006-04-20,1.7926,1.7926,1.7755,1.7781,10024,30,0
2006-04-21,1.7781,1.7850000000000001,1.7749000000000001,1.7824,9514,30,0
2006-04-24,1.7868,1.7934,1.7792,1.7861,10320,30,0
2006-04-25,1.7862,1.7945,1.7826,1.7875,9948,30,0
2006-04-26,1.7875999999999999,1.7912,1.78,1.7844,10499,30,0
2006-04-27,1.7845,1.8048,1.7819,1.8011,10181,30,0
2006-04-28,1.8012000000000001,1.8268,1.8,1.8256999999999999,10418,30,0
2006-05-01,1.8235999999999999,1.8416000000000001,1.8205,1.8242,9442,30,0
2006-05-02,1.8242,1.8428,1.8206,1.8397000000000001,10418,30,0
2006-05-03,1.8396,1.8479,1.8354,1.8425,10627,30,0
2006-05-04,1.8426,1.8552,1.8336000000000001,1.8527,10759,30,0
2006-05-05,1.8527,1.8625,1.8475000000000001,1.8595000000000002,10231,30,0
2006-05-08,1.8628,1.8693,1.8549,1.8578000000000001,10360,30,0
2006-05-09,1.8578000000000001,1.8692,1.8513,1.867,9878,30,0
2006-05-10,1.8673,1.8736000000000002,1.8601999999999999,1.8643999999999998,10818,30,0
2006-05-11,1.8643999999999998,1.8860000000000001,1.8531,1.8827,10910,30,0
2006-05-12,1.8822,1.9001000000000001,1.8820999999999999,1.8947,11680,30,0
2006-05-15,1.8965999999999998,1.8999000000000001,1.8763999999999998,1.8792,10316,30,0
2006-05-16,1.8792,1.8898000000000001,1.8745,1.8883,10434,30,0
2006-05-17,1.8883,1.9026999999999998,1.8775,1.8797000000000001,11614,30,0
2006-05-18,1.88,1.8965,1.8791,1.8951,10829,30,0
2006-05-19,1.8952,1.8957000000000002,1.87,1.8778000000000001,11001,30,0
2006-05-22,1.8771,1.8889,1.8632,1.8852,10535,30,0
2006-05-23,1.8852,1.8887,1.8765,1.8775,10600,30,0
2006-05-24,1.8763,1.8864,1.8652,1.8686,11582,30,0
2006-05-25,1.8688,1.8775,1.8665,1.8773,10425,30,0
2006-05-26,1.8773,1.8776000000000002,1.8531,1.8594,10412,30,0
2006-05-29,1.858,1.8645,1.8561,1.8589,9356,30,0
2006-05-30,1.8589,1.887,1.858,1.8836,11136,30,0
2006-05-31,1.8835,1.8860000000000001,1.8685,1.8719999999999999,11201,30,0
2006-06-01,1.8721,1.8728,1.8563,1.8666,10466,30,0
2006-06-02,1.8664,1.8862999999999999,1.8608,1.8819,10166,30,0
2006-06-05,1.8833,1.8881999999999999,1.8716,1.8723,10531,30,0
2006-06-06,1.8721999999999999,1.8775,1.8589,1.8606,11293,30,0
2006-06-07,1.8607,1.865,1.8529,1.8574000000000002,10799,30,0
2006-06-08,1.8573,1.858,1.837,1.8437000000000001,11636,30,0
2006-06-09,1.8437000000000001,1.8487,1.8364,1.8406,10642,30,0
2006-06-12,1.8395000000000001,1.8472,1.8378,1.8422,9918,30,0
2006-06-13,1.8420999999999998,1.846,1.8316,1.8342,10945,30,0
2006-06-14,1.8343,1.8502,1.8333,1.8433000000000002,10919,30,0
2006-06-15,1.8434,1.8549,1.8418999999999999,1.8488,10932,30,0
2006-06-16,1.8489,1.8563,1.8469,1.8505,9661,30,0
2006-06-19,1.8517000000000001,1.8533,1.8369,1.8405,10073,30,0
2006-06-20,1.8405,1.8463,1.8368,1.8425,9917,30,0
2006-06-21,1.8423,1.8475000000000001,1.8409,1.8455,9803,30,0
2006-06-22,1.8456000000000001,1.8474,1.8262,1.8282,10289,30,0
2006-06-23,1.8282,1.8315000000000001,1.8126,1.8187,10391,30,0
2006-06-26,1.8188,1.825,1.8161,1.8232,10444,30,0
2006-06-27,1.8235000000000001,1.8266,1.8185,1.8211,10458,30,0
2006-06-28,1.8209,1.8243,1.8141,1.8183,9966,30,0
2006-06-29,1.8183,1.83,1.8089,1.8274,11014,30,0
2006-06-30,1.8276,1.8502999999999998,1.8272,1.8498,10808,30,0
2006-07-03,1.8476,1.8491,1.8384,1.842,9759,30,0
2006-07-04,1.8415,1.8481999999999998,1.8414000000000001,1.8441,9525,30,0
2006-07-05,1.8441999999999998,1.8489,1.8326,1.8344,10267,30,0
2006-07-06,1.8344,1.8411,1.8333,1.8376000000000001,10153,30,0
2006-07-07,1.8376000000000001,1.8542,1.8355000000000001,1.8509,9510,30,0
2006-07-10,1.8502,1.8523,1.8367,1.8423,9981,30,0
2006-07-11,1.8422,1.8475000000000001,1.8366,1.8446,10301,30,0
2006-07-12,1.8446,1.8483,1.8309,1.834,10160,30,0
2006-07-13,1.8340999999999998,1.847,1.833,1.8436,10438,30,0
2006-07-14,1.8437000000000001,1.8453,1.8338999999999999,1.8387,11134,30,0
2006-07-17,1.8378,1.839,1.8176,1.8197999999999999,9752,30,0
2006-07-18,1.8197,1.833,1.8182,1.8265,11118,30,0
2006-07-19,1.8264,1.8443,1.8229,1.8422,11273,30,0
2006-07-20,1.8423,1.8521,1.8415,1.8484,10703,30,0
2006-07-21,1.8486,1.8601,1.8467,1.8584,9728,30,0
2006-07-24,1.8593,1.8599,1.8481,1.8513,10307,30,0
2006-07-25,1.8512,1.854,1.8384,1.8401,10600,30,0
2006-07-26,1.8405,1.8553,1.839,1.8542999999999998,10157,30,0
2006-07-27,1.8542,1.8678,1.8527,1.8580999999999999,10738,30,0
2006-07-28,1.8582,1.8668,1.8542999999999998,1.8632,10440,30,0
2006-07-31,1.8627,1.8692,1.8617,1.8679000000000001,10160,30,0
2006-08-01,1.8679000000000001,1.8768,1.8626,1.8761999999999999,10837,30,0
2006-08-02,1.8761,1.8799000000000001,1.8731,1.8771,10438,30,0
2006-08-03,1.8772,1.8917000000000002,1.8697,1.8879000000000001,11842,30,0
2006-08-04,1.888,1.9131,1.8852,1.9076,10955,30,0
2006-08-07,1.9074,1.9117,1.9037,1.9041000000000001,9566,30,0
2006-08-08,1.9042,1.9146,1.9033,1.9066,10159,30,0
